Type,Name,Difference,Url1,Url2,Value1,Value2
"Field Options","[matchingentitytypecode] 10005","Only In Workflow Scheduler","","http://qa2012/WorkflowScheduler/tools/systemcustomization/attributes/manageAttribute.aspx?attributeId=7be5025b-1af7-4cdc-a2fb-9d9638cf08a0&entityId=40283d28-eb4c-46a6-85fc-b621e54ef9b1","","10005"
"Field Options","[need] 328410000","Only In VM TEST","http://qa2012/TEST/tools/systemcustomization/attributes/manageAttribute.aspx?attributeId=2063acb5-8f6f-46bc-9390-a8b43d7d272a&entityId=dc6574cb-92ce-446c-a5d6-885a75107d52","","328410000",""
"Field Options","[channel] 2483","Only In VM TEST","http://qa2012/TEST/tools/systemcustomization/attributes/manageAttribute.aspx?attributeId=26ba431b-0dfe-49df-8694-8b3f47a0e675&entityId=3779e077-cce3-4eba-8f1b-126a462f914c","","2483",""
"Field Options","[channel] 3986","Only In VM TEST","http://qa2012/TEST/tools/systemcustomization/attributes/manageAttribute.aspx?attributeId=26ba431b-0dfe-49df-8694-8b3f47a0e675&entityId=3779e077-cce3-4eba-8f1b-126a462f914c","","3986",""
"Field Options","[objecttypecode] 10338","Only In VM TEST","http://qa2012/TEST/tools/systemcustomization/attributes/manageAttribute.aspx?attributeId=b60eddf2-efc3-4a73-8be7-4202b1058888&entityId=cd7432ec-9b1a-46ec-a869-152a890e7c2b","","10338",""
"Field Options","[objecttypecode] 10109","Only In VM TEST","http://qa2012/TEST/tools/systemcustomization/attributes/manageAttribute.aspx?attributeId=b60eddf2-efc3-4a73-8be7-4202b1058888&entityId=cd7432ec-9b1a-46ec-a869-152a890e7c2b","","10109",""
"Field Options","[componenttype] 150","Only In VM TEST","http://qa2012/TEST/tools/systemcustomization/attributes/manageAttribute.aspx?attributeId=ceeef3db-a6be-4cdc-9898-af84db1181f1&entityId=357a748c-78ec-40a6-9694-35af375a1c6b","","150",""
"Field Options","[componenttype] 151","Only In VM TEST","http://qa2012/TEST/tools/systemcustomization/attributes/manageAttribute.aspx?attributeId=ceeef3db-a6be-4cdc-9898-af84db1181f1&entityId=357a748c-78ec-40a6-9694-35af375a1c6b","","151",""
"Field Options","[componenttype] 152","Only In VM TEST","http://qa2012/TEST/tools/systemcustomization/attributes/manageAttribute.aspx?attributeId=ceeef3db-a6be-4cdc-9898-af84db1181f1&entityId=357a748c-78ec-40a6-9694-35af375a1c6b","","152",""
"Field Options","[componenttype] 153","Only In VM TEST","http://qa2012/TEST/tools/systemcustomization/attributes/manageAttribute.aspx?attributeId=ceeef3db-a6be-4cdc-9898-af84db1181f1&entityId=357a748c-78ec-40a6-9694-35af375a1c6b","","153",""
"Field Options","[componenttype] 154","Only In VM TEST","http://qa2012/TEST/tools/systemcustomization/attributes/manageAttribute.aspx?attributeId=ceeef3db-a6be-4cdc-9898-af84db1181f1&entityId=357a748c-78ec-40a6-9694-35af375a1c6b","","154",""
"Field Options","[componenttype] 155","Only In VM TEST","http://qa2012/TEST/tools/systemcustomization/attributes/manageAttribute.aspx?attributeId=ceeef3db-a6be-4cdc-9898-af84db1181f1&entityId=357a748c-78ec-40a6-9694-35af375a1c6b","","155",""
"Field Options","[dependentcomponenttype] 150","Only In VM TEST","http://qa2012/TEST/tools/systemcustomization/attributes/manageAttribute.aspx?attributeId=34cc7d76-3a5f-11de-a7aa-00155da18b00&entityId=c74485f0-38da-11de-9d3f-00188b01e34f","","150",""
"Field Options","[dependentcomponenttype] 151","Only In VM TEST","http://qa2012/TEST/tools/systemcustomization/attributes/manageAttribute.aspx?attributeId=34cc7d76-3a5f-11de-a7aa-00155da18b00&entityId=c74485f0-38da-11de-9d3f-00188b01e34f","","151",""
